ID,timestamp,recordtime,sensorId,locationId,battery,humidity,temperature,,
5752897300070400,1/31/2017 6:00:00,1/31/2017 6:57:53,GH003,iSysLab1,4.20,66.00,34.30,,
5193228835880960,1/31/2017 6:00:00,1/31/2017 6:57:48,GH004,iSysLab1,4.20,53.60,33.70,,
5747786960076800,1/31/2017 6:00:00,1/31/2017 7:02:17,GH006,iSysLab1,3.97,75.90,34.50,,
5671386873856000,1/31/2017 6:00:00,1/31/2017 6:57:32,GH007,iSysLab1,3.99,70.60,34.40,,
5760131769827320,1/31/2017 6:00:00,1/31/2017 6:57:37,GH008,iSysLab1,4.20,71.40,34.00,,
5756178789302270,1/31/2017 6:00:00,1/31/2017 6:57:29,GH009,iSysLab1,4.20,68.10,33.80,,
5640628599783420,1/31/2017 7:00:00,1/31/2017 6:59:55,GH003,iSysLab1,4.20,69.50,28.20,,
5765183054020600,1/31/2017 7:00:00,1/31/2017 9:01:43,GH005,iSysLab1,4.20,83.95,31.75,,
5738044766289920,1/31/2017 7:00:00,1/31/2017 6:59:55,GH008,iSysLab1,4.20,80.10,28.65,,
6264817539088380,1/31/2017 7:30:00,1/31/2017 8:58:10,GH003,iSysLab1,4.20,57.68,38.03,,
5679350280093690,1/31/2017 7:30:00,1/31/2017 9:00:07,GH006,iSysLab1,3.97,75.20,34.39,,
5175094812868600,1/31/2017 7:30:00,1/31/2017 9:02:38,GH008,iSysLab1,4.20,70.72,35.20,,
5149729272889340,1/31/2017 9:00:00,1/31/2017 9:00:05,GH003,iSysLab1,4.20,56.60,37.20,,
6319128742723580,1/31/2017 9:00:00,1/31/2017 9:00:02,GH004,iSysLab1,4.16,62.95,33.45,,
5116400326672380,1/31/2017 9:03:00,1/31/2017 9:02:57,GH003,iSysLab1,4.20,57.47,36.90,,
5746008172527610,1/31/2017 9:03:00,1/31/2017 9:03:00,GH004,iSysLab1,4.16,61.40,32.80,,
5718442535550970,1/31/2017 9:03:00,1/31/2017 9:02:58,GH005,iSysLab1,4.20,78.00,34.20,,
5651784643117050,1/31/2017 9:03:00,1/31/2017 9:02:54,GH006,iSysLab1,3.97,76.67,33.53,,
5092316834430970,1/31/2017 9:03:00,1/31/2017 9:03:00,GH007,iSysLab1,4.00,62.17,37.27,,
6244285179494400,1/31/2017 9:03:00,1/31/2017 9:03:01,GH008,iSysLab1,4.20,75.50,33.00,,
6310736913498110,1/31/2017 9:03:00,1/31/2017 9:03:03,GH009,iSysLab1,4.16,54.25,38.80,,
5158768568434680,1/31/2017 9:06:00,1/31/2017 9:05:59,GH003,iSysLab1,4.20,57.73,36.87,,
4857442655535100,1/31/2017 9:06:00,1/31/2017 9:06:00,GH004,iSysLab1,4.16,60.07,32.53,,
6242300233515000,1/31/2017 9:06:00,1/31/2017 9:06:00,GH005,iSysLab1,4.20,77.10,34.70,,
6298343651147770,1/31/2017 9:06:00,1/31/2017 9:06:01,GH006,iSysLab1,3.97,76.67,33.73,,
4903362029944830,1/31/2017 9:06:00,1/31/2017 9:06:03,GH007,iSysLab1,4.00,62.77,37.30,,
6236707783442430,1/31/2017 9:06:00,1/31/2017 9:05:54,GH008,iSysLab1,4.20,75.30,33.10,,
5108371824836600,1/31/2017 9:06:00,1/31/2017 9:06:00,GH009,iSysLab1,4.16,54.47,38.73,,
5136399841886200,1/31/2017 9:09:00,1/31/2017 9:09:01,GH003,iSysLab1,4.20,56.60,37.57,,
6234336827277310,1/31/2017 9:09:00,1/31/2017 9:09:01,GH004,iSysLab1,4.16,59.13,32.97,,
6029261936787450,1/31/2017 9:09:00,1/31/2017 9:09:02,GH005,iSysLab1,4.20,74.90,35.70,,
5197181816406010,1/31/2017 9:09:00,1/31/2017 9:09:02,GH006,iSysLab1,3.97,75.60,34.27,,
5083071380455420,1/31/2017 9:09:00,1/31/2017 9:09:02,GH007,iSysLab1,4.00,60.57,38.67,,
5359153623072760,1/31/2017 9:09:00,1/31/2017 9:08:46,GH008,iSysLab1,4.20,74.87,33.37,,
5994154203021310,1/31/2017 9:09:00,1/31/2017 9:09:02,GH009,iSysLab1,4.16,53.50,39.40,,
6284668475277310,1/31/2017 9:12:00,1/31/2017 9:22:06,GH003,iSysLab1,4.20,54.97,38.30,,
5431204249600000,1/31/2017 9:12:00,1/31/2017 9:22:06,GH004,iSysLab1,4.16,59.77,33.40,,
4890968767594490,1/31/2017 9:12:00,1/31/2017 9:22:11,GH005,iSysLab1,4.20,70.93,37.10,,
